[24.11.2024, 23:31:30] Моля💂🏽: Детка, с днем рождения тебя❤️ 
Желаю много бабла, много возможностей которые приведут тебя к тем высотам которых ты мечтаешь🙏 
[14.07.2025, 06:32:29] Акнур: и чтоб акнур не узнала говорит
[14.07.2025, 06:32:29] Акнур: Я что забхуйня
[14.07.2025, 06:32:29] Акнур: Она была очень тогда пьяная
[14.07.2025, 06:32:29] Акнур: Говорит
[14.07.2025, 06:32:29] Акнур: У меня бзик
[14.07.2025, 06:32:29] Акнур: Точно Ербол Деп айтты ма десем
[14.07.2025, 06:32:29] Акнур: Да говорит
[14.07.2025, 06:32:29] Акнур: да не не такие они десем ну это было один раз говорит
[14.07.2025, 06:32:29] Акнур: Что думаешь и
[14.07.2025, 06:32:29] Акнур: Алуа такое
[14.07.2025, 06:32:29] Акнур: Зачем ему говорила
[14.07.2025, 06:32:29] Акнур: Акнурдын Ерболы деп
[14.07.2025, 06:32:29] Акнур: Айтты дейды
[14.07.2025, 06:32:29] Акнур: ты че с ним встречаешься говорит
[14.07.2025, 06:32:29] Акнур: Бляяя мне чутка даже стремно
[14.07.2025, 06:32:29] Акнур: Что я даже так думаю
[14.07.2025, 06:32:29] Акнур: Недавно в мае
[14.07.2025, 06:32:29] Акнур: Говорит
[14.07.2025, 06:32:29] Акнур: Когда виделись с ней
[14.07.2025, 06:32:29] Акнур: Рассказала дейды
[14.07.2025, 06:32:29] Акнур: Я вот час назад узнала об этом
[14.07.2025, 06:32:29] Акнур: И не могу себе место найти
[14.07.2025, 06:32:29] Акнур: Просто
[14.07.2025, 06:32:29] Акнур: Думать что так она поступила мне чутка стремно так как она ж
Подруга моя,но и не думать так нахуя он рассказал так тогда
[14.07.2025, 06:32:29] Акнур: Что я должна сделать?
[14.07.2025, 06:32:29] Акнур: Как думаешь?
[14.07.2025, 06:32:46] Акнур: Это правда или нет?
[14.07.2025, 06:32:46] Акнур: Может они сами договорились что не будут эту тему открывать деп
[14.07.2025, 06:32:46] Акнур: Что это было по пьяне деп
[14.07.2025, 06:32:46] Акнур: Меня не было на нг только с ним
[14.07.2025, 06:32:46] Акнур: Тогда что ли успели они
[14.07.2025, 06:33:01] Акнур: Почитай Моля
[14.07.2025, 06:33:05] Акнур: я хз что сделать
[14.07.2025, 06:33:25] Акнур: я по идее собиралась вечером к Ербол но почему то подумала ладно бармаяк кояйын деп, и хома написал
[14.07.2025, 06:33:25] Акнур: Получается я. Должна была услышать узнать
[14.07.2025, 06:33:25] Акнур: Вот это все
[14.07.2025, 06:34:02] Акнур: Бармай хомага шыгып едм
[14.07.2025, 06:34:05] Акнур: Соня айтып тур но
[14.07.2025, 06:34:07] Акнур: Го
[14.07.2025, 06:34:08] Акнур: Маган
[14.07.2025, 06:35:06] Акнур: Алуа рассказала мне говорит
[14.07.2025, 06:35:11] Акнур: Думаешь пиздеж или нет?
[14.07.2025, 06:35:20] Акнур: Он еще не хотел
[14.07.2025, 06:35:25] Акнур: я говорю нет рассказывай че там
[14.07.2025, 06:35:27] Акнур: Деп
[14.07.2025, 06:35:28] Моля💂🏽: Бля, стоп… 
Если это правда, то, тут Асем пздц не провааа если она так поступила 
Ербол тоже не ангел 
Но, видишь ли теперь вопрос, правда ли это
И ваще Алуа откуда узнала этооо
[14.07.2025, 06:35:44] Акнур: Асем и Алуа Бир моментте хорошо
[14.07.2025, 06:35:46] Акнур: Дружили
[14.07.2025, 06:35:50] Акнур: Всегда вместе ходили
[14.07.2025, 06:35:59] Акнур: только не понимаю когда они успели переспать
[14.07.2025, 06:36:20] Акнур: И как я должна спросить
[14.07.2025, 06:36:21] Акнур: У них
[14.07.2025, 06:36:22] Акнур: Теперь
[14.07.2025, 06:36:52] Акнур: Я хз что думать даже
[14.07.2025, 06:36:56] Акнур: Даже чутка стыдно
[14.07.2025, 06:36:59] Акнур: Что я думаю
[14.07.2025, 06:37:02] Акнур: Возможно деп
[14.07.2025, 06:37:07] Акнур: А что если реально переспали
[14.07.2025, 06:37:09] Акнур: И молчат
[14.07.2025, 06:37:10] Акнур: Тупо
[14.07.2025, 06:37:12] Акнур: Забыли деп
[14.07.2025, 06:37:14] Моля💂🏽: Блин, честно этоу жасное чувство пздц как ужасное 
Ад вспомнила Асылзата и Боту
[14.07.2025, 06:37:26] Акнур: Хома думаешь будет пиздеть?
[14.07.2025, 06:37:33] Акнур: Алуа мне рассказала дейды
[14.07.2025, 06:37:54] Моля💂🏽: Честно, тут могу сказать вы с ним тогда не встречались но, даже учитывая это, что так Асема поступила если это больно 
Прям как у меня
[14.07.2025, 06:38:06] Моля💂🏽: Тебе не будет спокойно пока правду
[14.07.2025, 06:38:10] Моля💂🏽: Не узнаешь
[14.07.2025, 06:38:17] Акнур: Асем ж моя подруга он ж знает
[14.07.2025, 06:38:17] Моля💂🏽: Или сможешь глаза закрыть на это?
[14.07.2025, 06:38:20] Акнур: Чем он думал
[14.07.2025, 06:38:21] Акнур: Тогда
[14.07.2025, 06:38:23] Акнур: Если это так
[14.07.2025, 06:38:32] Моля💂🏽: Брат пацаны не думают ваще
[14.07.2025, 06:38:38] Моля💂🏽: Асыл тож самое сотворял
[14.07.2025, 06:38:38] Акнур: Хз Моля если это реально так
[14.07.2025, 06:38:40] Акнур: Хз
[14.07.2025, 06:38:41] Акнур: Даже
[14.07.2025, 06:38:42] Акнур: Что делать
[14.07.2025, 06:38:55] Моля💂🏽: Теперь тут вопрос в том что ты сама сможешь забить хуй и осек деп это все
[14.07.2025, 06:39:10] Моля💂🏽: Или ж нужно будет узнать правду для споокоцствия
[14.07.2025, 06:39:17] Моля💂🏽: Тут дальы ты сама выбираешь
[14.07.2025, 06:39:26] Акнур: Жози пишет что они не гуляли же вместе
[14.07.2025, 06:39:27] Моля💂🏽: Бля это больноооооо
[14.07.2025, 06:39:28] Акнур: Деп
[14.07.2025, 06:39:32] Акнур: ты ж была рядом всегда деп
[14.07.2025, 06:39:36] Моля💂🏽: Я тогда пздц в депрессию ушла
[14.07.2025, 06:39:42] Моля💂🏽: Обметерила Боту
[14.07.2025, 06:39:43] Акнур: На нг меня не было
[14.07.2025, 06:39:47] Моля💂🏽: Которая олип писала
[14.07.2025, 06:40:01] Моля💂🏽: Но я таких подруг остерегаюсь и после я с ней не общалась
[14.07.2025, 06:40:03] Акнур: Я ду ма ю
[14.07.2025, 06:40:05] Акнур: Как написать ему
[14.07.2025, 06:40:07] Акнур: Вот
[14.07.2025, 06:40:10] Акнур: Айтты маган демейм го
[14.07.2025, 06:40:14] Акнур: передали осек демейм шо
[14.07.2025, 06:40:15] Акнур: Го*
[14.07.2025, 06:40:20] Моля💂🏽: Не пиши казир
[14.07.2025, 06:40:21] Моля💂🏽: Ты че
[14.07.2025, 06:40:26] Моля💂🏽: Казир палевно
[14.07.2025, 06:40:30] Моля💂🏽: Чуть успокойся
[14.07.2025, 06:40:35] Моля💂🏽: Мозги пусть остынут
[14.07.2025, 06:40:35] Акнур: Нет он каз в 8 утра проснется
[14.07.2025, 06:40:41] Акнур: мамасын встретит поедет
[14.07.2025, 06:40:42] Моля💂🏽: Даже если и так
[14.07.2025, 06:40:47] Моля💂🏽: Дай себе подумать
[14.07.2025, 06:41:06] Акнур: если скажут нет
[14.07.2025, 06:41:08] Акнур: Не гони
[14.07.2025, 06:41:10] Акнур: Что тогда
[14.07.2025, 06:41:35] Акнур: Алуага и хомага нахуя тогда мне пиздеть
[14.07.2025, 06:41:38] Моля💂🏽: Отпусти, тебе надо в живую поговорить если ты готова узнать
[14.07.2025, 06:41:48] Моля💂🏽: Блять может апще они ошиблись
[14.07.2025, 06:41:51] Моля💂🏽: Хома особенно
[14.07.2025, 06:41:54] Моля💂🏽: Он ж хз ваще
[14.07.2025, 06:41:59] Моля💂🏽: Может ваше под кайфом
[14.07.2025, 06:42:04] Моля💂🏽: Из за этого оттап сидит
[14.07.2025, 06:42:07] Акнур: Жози говорит он путает другое случае деп
[14.07.2025, 06:42:16] Моля💂🏽: Тож думаю так
[14.07.2025, 06:42:16] Акнур: Я у него переспрашиваю
[14.07.2025, 06:42:23] Акнур: Он говорит да Ербол
[14.07.2025, 06:42:32] Акнур: Акнурдын Ерболы деп
[14.07.2025, 06:42:47] Моля💂🏽: Бля Хомада
[14.07.2025, 06:42:52] Моля💂🏽: А если он рил ошибся
[14.07.2025, 06:43:38] Акнур: меня не было на нг и хотя стремно болса да когда мы с Алуа общались
[14.07.2025, 06:43:39] Акнур: На нг
[14.07.2025, 06:43:49] Акнур: Она мне говорила вот твой Ербол так посмотрел на ее жопу
[14.07.2025, 06:44:05] Акнур: Она была в бежевом облегающем платье
[14.07.2025, 06:44:08] Акнур: Жабысып туратын
[14.07.2025, 06:44:09] Акнур: Лапша
[14.07.2025, 06:44:16] Акнур: Я такая ебать нихуясебе тогда думала
[14.07.2025, 06:44:31] Акнур: Алуа тогда рассказывала мынаны кози кетти деп
[14.07.2025, 06:44:34] Акнур: Я такая мммм
[14.07.2025, 06:44:40] Моля💂🏽: Бляяяя ты все мимолетные факты не придумывай детка
[14.07.2025, 06:44:55] Моля💂🏽: Ты сейчас как поняла хочешь узнать правду да?
[14.07.2025, 06:44:59] Акнур: да
[14.07.2025, 06:45:19] Акнур: Может они сами договорились что не будут эту тему открывать деп
[14.07.2025, 06:45:19] Акнур: Что это было по пьяне деп
[14.07.2025, 06:45:22] Моля💂🏽: Тогда тебе надо обратиться к первому источнику
[14.07.2025, 06:45:26] Моля💂🏽: Алуага жазып корсей
[14.07.2025, 06:45:31] Моля💂🏽: Не говори правда нет деп
[14.07.2025, 06:45:32] Акнур: С алуа не общаемся же
[14.07.2025, 06:45:47] Моля💂🏽: Просто спроси Асем и Ербол когда успели быть вместе деп
[14.07.2025, 06:46:07] Моля💂🏽: Напиши просто, шаштарынды жулып одгенжоксынжар го
[14.07.2025, 06:46:17] Акнур: А если у Асема и у Ербола спросить
[14.07.2025, 06:46:46] Моля💂🏽: Сначала у одного потом у другого спроси
[14.07.2025, 06:46:49] Моля💂🏽: Но лицно прям
[14.07.2025, 06:46:57] Моля💂🏽: Чтобы ты видела эмоции
[14.07.2025, 06:47:08] Моля💂🏽: По переписке не гони деп айтуы мумкин
[14.07.2025, 06:47:10] Моля💂🏽: Но видишь
[14.07.2025, 06:47:15] Моля💂🏽: Если жто все хуйня потом
[14.07.2025, 06:47:22] Моля💂🏽: Как то доверие кетип калад
[14.07.2025, 06:47:25] Моля💂🏽: Тут две грани
[14.07.2025, 06:47:28] Моля💂🏽: (((
[14.07.2025, 06:51:49] Акнур: Я ж ему заказала брелок
[14.07.2025, 06:51:52] Акнур: Сол келсин
[14.07.2025, 06:52:00] Акнур: И берген кезде спрошу
[14.07.2025, 06:52:01] Акнур: Тогда
[14.07.2025, 06:52:04] Акнур: Асемадан былай спрошу
[14.07.2025, 07:44:38] Моля💂🏽: Короче жан обдумай все 
Все ж думаю Асем не сделает так
[14.07.2025, 07:44:52] Моля💂🏽: Но все если для того, чтоб тебе было спокойно
[14.07.2025, 07:45:03] Моля💂🏽: Лучше поступи так как думаешь верным
[14.07.2025, 07:45:15] Моля💂🏽: Аыбирай свое спокойствие
[14.07.2025, 07:45:34] Моля💂🏽: Если хома так блять проебался то он пздц гондон
[14.07.2025, 08:19:25] Акнур: Алуа го напиздела ему
[14.07.2025, 08:24:50] Моля💂🏽: С одной стороны, такое зчм ваще постороннему человеку та говорит
[14.07.2025, 08:25:01] Моля💂🏽: Блин, не знаю ваще
[14.07.2025, 08:25:11] Моля💂🏽: Может ваще Хома не правильно все трактовал
[14.07.2025, 08:25:19] Моля💂🏽: Вот в чем еще подвох
