[21.01.2025, 17:59:45] Алуа Боевик❤️: Нет
[24.02.2025, 19:38:23] Айман: ### **Совет карт для Асем — "Колесница"**  

Карта **"Колесница"** советует Асем взять ситуацию под контроль и двигаться вперед с уверенностью. Это знак того, что успех и решение зависят от ее собственной решимости и готовности действовать.  

- **Если она ждет действий от Еркина**, карты говорят, что ей самой нужно проявить инициативу и не зависеть от чужих решений.  
- **Если есть сомнения**, нужно четко определить, чего она хочет, и не бояться идти к своей цели.  
- **Если отношения кажутся нестабильными**, важно взять их в свои руки и направить в желаемое русло, сохраняя баланс между эмоциями и разумом.  

### **Итог**  
Карты советуют Асем не пассивно ждать развития событий, а уверенно двигаться вперед, не бояться перемен и следовать своим желаниям. Если она будет решительной, ситуация разрешится в ее пользу.
[24.02.2025, 19:40:20] Айман: ### **Расклад "Вокзал для двоих" для Асем и Еркина**  

1. **Мысли партнера о вас и отношениях — "Влюбленные"**  
   Еркин осознает важность этих отношений. В его голове есть выбор: он понимает, что между вами есть сильная связь, но, возможно, колеблется, не зная, какой путь выбрать.

2. **Ваши мысли о партнере и отношениях — "Луна"**  
   Асем не уверена в Еркине, в отношениях для нее много неясного и скрытого. Возможно, она чувствует, что он чего-то недоговаривает или ведет себя непредсказуемо.

3. **Чувства партнера к вам — "Башня"**  
   Внутри Еркина могут происходить резкие перемены. Он может испытывать сильные эмоции, но эти чувства хаотичны и могут быть связаны с конфликтами или внутренними страхами.

4. **Ваши чувства к партнеру — "Звезда"**  
   Асем надеется на лучшее и видит в этих отношениях перспективу. Она верит в будущее и, возможно, ждет, что ситуация улучшится со временем.

5. **Действия, которые партнер готов предпринять — "Рыцарь Жезлов"**  
   Еркин может внезапно проявить активность, сделать шаг навстречу, но при этом его действия могут быть спонтанными, без четкого плана на будущее.

6. **Ваши действия в отношении партнера — "Четверка Пентаклей"**  
   Асем, наоборот, хочет удержать ситуацию под контролем, боится потерять стабильность. Возможно, она слишком крепко держится за эти отношения, что может вызывать напряжение.

7. **Общий итог или перспектива отношений — "Семерка Мечей"**  
   Эта карта предупреждает о возможных недосказанностях, хитрости или уходе от честного диалога. В отношениях могут быть скрытые мотивы или боязнь открыться полностью. Есть риск, что кто-то из партнеров действует не до конца искренне или пытается избежать прямых решений.

### **Вывод**  
Отношения сложные: у Еркина есть сильная привязанность, но он переживает внутренний кризис, а Асем надеется, что все наладится. Однако без открытого диалога могут возникнуть проблемы, связанные с недопониманием и скрытыми эмоциями. Карты советуют честно обсудить все вопросы и быть максимально откровенными друг с другом.
[24.02.2025, 19:42:38] Айман: 500 тг
[24.02.2025, 19:42:41] Айман: 😂😂😂😂😂😂😂😂😂
[24.02.2025, 19:42:56] Айман: Емааааа
[24.02.2025, 19:43:04] Айман: Акнур 500 жиберди
[24.02.2025, 19:43:09] Айман: 😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
[24.02.2025, 19:44:35] Асем ❤️🤗: Попозже жиберем 🤣
‎[24.02.2025, 22:00:26] Алуа Боевик❤️: ‎audio omitted
[24.02.2025, 22:11:45] Айман: Платная
[24.02.2025, 22:11:47] Айман: Самая дорогая
[24.02.2025, 22:15:20] Алуа Боевик❤️: 20£
[24.02.2025, 22:15:23] Алуа Боевик❤️: 😂
[24.02.2025, 22:15:30] Алуа Боевик❤️: Нет $
[24.02.2025, 22:17:59] Айман: 200$
‎[28.02.2025, 17:06:27] Алуа Боевик❤️: ‎audio omitted
[28.02.2025, 19:13:44] Айман: И че
[28.02.2025, 19:13:48] Айман: Решили
‎[28.02.2025, 19:14:51] Алуа Боевик❤️: ‎audio omitted
‎[28.02.2025, 19:15:20] Алуа Боевик❤️: ‎audio omitted
[28.02.2025, 19:17:12] Айман: Может tangiers?
[28.02.2025, 19:18:51] Алуа Боевик❤️: Да да
‎[28.02.2025, 19:19:00] Алуа Боевик❤️: ‎audio omitted
[28.02.2025, 19:19:16] Жазира❤️😍🤰: Там бронировать
[28.02.2025, 19:19:18] Жазира❤️😍🤰: Надо
[28.02.2025, 19:19:26] Жазира❤️😍🤰: Заранее
[28.02.2025, 19:19:30] Жазира❤️😍🤰: Еда есть
‎[28.02.2025, 19:19:31] Алуа Боевик❤️: ‎audio omitted
[28.02.2025, 19:19:40] Жазира❤️😍🤰: На завтра да
[28.02.2025, 19:19:46] Алуа Боевик❤️: Супер
[28.02.2025, 19:19:47] Жазира❤️😍🤰: Все выйдут
‎[28.02.2025, 19:19:52] Алуа Боевик❤️: ‎audio omitted
[28.02.2025, 19:19:54] Жазира❤️😍🤰: ?
[28.02.2025, 19:19:55] Алуа Боевик❤️: Я точно да
[28.02.2025, 19:20:02] Жазира❤️😍🤰: Забронироваю тогда
[28.02.2025, 19:20:02] Алуа Боевик❤️: На этой неделе я ток у себя дома
[28.02.2025, 19:20:04] Жазира❤️😍🤰: На сколько
[28.02.2025, 19:21:03] Асем ❤️🤗: Я пока не знаю
[28.02.2025, 19:21:50] Жазира❤️😍🤰: На какое время ?
[28.02.2025, 19:25:25] Айман: Так сегодня или завтра?
[28.02.2025, 19:25:31] Айман: Завтра я хз
[28.02.2025, 19:27:48] Жазира❤️😍🤰: Завтра
[28.02.2025, 19:33:37] Алуа Боевик❤️: 8?
[28.02.2025, 19:33:40] Алуа Боевик❤️: Норм?
[28.02.2025, 19:33:52] Алуа Боевик❤️: К 11 пойдем типо в лилоу
Давно там не были
[28.02.2025, 19:34:04] Алуа Боевик❤️: Красиво оденемся
[28.02.2025, 19:37:12] Жазира❤️😍🤰: На 20:00 забронировала
[28.02.2025, 19:37:34] Айман: Который возле абудаби?
[28.02.2025, 19:37:41] Жазира❤️😍🤰: Да
[28.02.2025, 19:37:43] Жазира❤️😍🤰: На завтра
[28.02.2025, 19:37:54] Алуа Боевик❤️: Супер
[28.02.2025, 19:38:54] Жазира❤️😍🤰: *Ваша бронь подтверждена, Леди!*

Бронь держится 15 минут, пожалуйста не опаздывайте. Если возникнут задержки, предупредите пожалуйста заранее.
Вход только для гостей *21+*
До скорой встречи в Особняке Мистера Т🎩🖤
[28.02.2025, 20:56:32] Жазира❤️😍🤰: Келесиндермв
[28.02.2025, 20:56:39] Жазира❤️😍🤰: Отпишитесь
[28.02.2025, 20:56:41] Алуа Боевик❤️: Я да
[28.02.2025, 20:56:44] Алуа Боевик❤️: Сто раз сказала
[28.02.2025, 20:56:45] Алуа Боевик❤️: 😂
[28.02.2025, 20:56:50] Жазира❤️😍🤰: Кроме тебя
[28.02.2025, 20:57:00] Акнур: Я пас
[28.02.2025, 20:57:04] Алуа Боевик❤️: Тебе недостаточно меня?😂😂😂
[28.02.2025, 20:57:07] Алуа Боевик❤️: Шучу
[28.02.2025, 20:57:15] Жазира❤️😍🤰: А че
[28.02.2025, 20:57:45] Акнур: Завтра у меня дела есть
[28.02.2025, 20:57:55] Жазира❤️😍🤰: Кешке ма
[28.02.2025, 20:58:00] Акнур: Келесиде келемин
[28.02.2025, 20:58:14] Жазира❤️😍🤰: Келеси через 2 меСца
[28.02.2025, 20:58:19] Жазира❤️😍🤰: Месяца будет
[28.02.2025, 20:58:23] Жазира❤️😍🤰: 😂
[28.02.2025, 20:58:32] Алуа Боевик❤️: 😂
[28.02.2025, 20:58:37] Алуа Боевик❤️: Ну ладно не прям 2
[28.02.2025, 20:58:41] Алуа Боевик❤️: Ну 1 мес 😂😂😂😂😂
[28.02.2025, 20:58:52] Жазира❤️😍🤰: К лету
[28.02.2025, 20:59:05] Алуа Боевик❤️: Ахахахпх
[28.02.2025, 20:59:14] Алуа Боевик❤️: Да нет 
Разое в марте
[28.02.2025, 20:59:16] Алуа Боевик❤️: Можно тоже
[28.02.2025, 21:06:24] Асем ❤️🤗: Я завтра скажу 
Точно ответин
[28.02.2025, 21:06:33] Асем ❤️🤗: Постараюсь келуге
[28.02.2025, 21:06:48] Асем ❤️🤗: Кстати 8 март что будем делать?
[28.02.2025, 21:17:05] Жазира❤️😍🤰: Я поеду в Кокшетау у
[28.02.2025, 21:18:27] Фас На Минималках🤌: Байка келеди
[28.02.2025, 21:39:25] Алуа Боевик❤️: Когда
‎[28.02.2025, 21:39:35] Алуа Боевик❤️: ‎audio omitted
[28.02.2025, 21:42:39] Айман: Акнур
[28.02.2025, 21:45:55] Жазира❤️😍🤰: Когда
[01.03.2025, 02:42:21] Фас На Минималках🤌: Толи 4го толи 5го
‎[01.03.2025, 15:46:43] Айман: ‎image omitted
[01.03.2025, 15:46:52] Айман: Сижу облизываюсь на эти цены 😂
[01.03.2025, 15:57:48] Жазира❤️😍🤰: Это перелет только?
[01.03.2025, 15:58:00] Айман: Да ‎<This message was edited>
[01.03.2025, 16:10:58] Алуа Боевик❤️: Скинь ссылку тоже
[01.03.2025, 16:11:02] Алуа Боевик❤️: Чтобы следить
[01.03.2025, 18:42:14] Жазира❤️😍🤰: Кыздар на
[01.03.2025, 18:42:21] Жазира❤️😍🤰: 22:00 перенесли
[01.03.2025, 18:44:32] Алуа Боевик❤️: Супер
[01.03.2025, 18:44:41] Алуа Боевик❤️: Мы что только с Жазирой идем?!
[01.03.2025, 18:45:04] Асем ❤️🤗: Я наверно приду 
Я еще на работе
[01.03.2025, 18:45:14] Алуа Боевик❤️: 🫂🫂🫂🫂
[01.03.2025, 18:45:26] Алуа Боевик❤️: Специально подальше забронировали
[01.03.2025, 18:45:40] Алуа Боевик❤️: @77021001616 может и ты? На 2 часа
[01.03.2025, 18:45:44] Алуа Боевик❤️: Оставишь Марату
[01.03.2025, 18:45:44] Жазира❤️😍🤰: Я что-то усталь
[01.03.2025, 18:45:50] Алуа Боевик❤️: Ты же так делала уже
[01.03.2025, 18:46:00] Алуа Боевик❤️: Жан надо
[01.03.2025, 18:46:08] Алуа Боевик❤️: И так, мы не видимся
[01.03.2025, 18:46:22] Фас На Минималках🤌: Жан сейчас она спит только со мной
[01.03.2025, 18:46:31] Фас На Минималках🤌: Не могу выйти
[01.03.2025, 18:46:31] Алуа Боевик❤️: Ого
[01.03.2025, 18:46:40] Фас На Минималках🤌: Только сиська
[01.03.2025, 18:46:48] Фас На Минималках🤌: На 20минут не отпускает просыпается
[01.03.2025, 18:47:18] Фас На Минималках🤌: Пусть спит спокойно, не буду тревожить ребенка
[01.03.2025, 18:47:35] Алуа Боевик❤️: Окай жаным
[01.03.2025, 18:47:38] Фас На Минималках🤌: Не смогу ксожалению
[01.03.2025, 18:47:43] Алуа Боевик❤️: Значит в баню ты тоже никак
‎[01.03.2025, 18:48:24] Алуа Боевик❤️: ‎audio omitted
[01.03.2025, 18:49:36] Фас На Минималках🤌: Неее
‎[01.03.2025, 18:49:45] Фас На Минималках🤌: ‎video note omitted
[01.03.2025, 18:49:56] Фас На Минималках🤌: Но так хочется 🥲
[01.03.2025, 18:50:28] Алуа Боевик❤️: 😍😍😍😍😍😍😍😍😍😍😍😍
[01.03.2025, 18:50:37] Алуа Боевик❤️: Что за малыш такой
[01.03.2025, 18:50:42] Алуа Боевик❤️: 🥹🤪
‎[01.03.2025, 18:50:57] Жазира❤️😍🤰: ‎video note omitted
[01.03.2025, 18:51:05] Алуа Боевик❤️: Жан
Поспи
[01.03.2025, 18:51:08] Алуа Боевик❤️: И собирайся
[01.03.2025, 18:51:42] Жазира❤️😍🤰: 😍
[01.03.2025, 18:51:51] Жазира❤️😍🤰: Сегодня прохладно было
‎[01.03.2025, 18:52:09] Алуа Боевик❤️: ‎audio omitted
[01.03.2025, 18:52:29] Фас На Минималках🤌: 🤣
[01.03.2025, 18:52:45] Фас На Минималках🤌: Шаршама сен шаршама
[01.03.2025, 18:53:02] Фас На Минималках🤌: Оденься на всякий случай
[01.03.2025, 18:53:09] Фас На Минималках🤌: Может пойдетп 😂
‎[01.03.2025, 18:53:25] Жазира❤️😍🤰: ‎video note omitted
[01.03.2025, 18:58:20] Алуа Боевик❤️: Жан
[01.03.2025, 18:58:24] Алуа Боевик❤️: Не кидай меня
‎[01.03.2025, 18:59:17] Алуа Боевик❤️: ‎audio omitted
[01.03.2025, 19:00:20] Жазира❤️😍🤰: 🤣🤣🤣
‎[01.03.2025, 19:00:58] Алуа Боевик❤️: ‎audio omitted
‎[01.03.2025, 19:01:01] Жазира❤️😍🤰: ‎audio omitted
‎[01.03.2025, 19:01:50] Алуа Боевик❤️: ‎video omitted
‎[01.03.2025, 19:02:52] Алуа Боевик❤️: ‎audio omitted
[01.03.2025, 19:03:26] Алуа Боевик❤️: Просто приходила мыла ток посуду и все и стиралась 
А вокруг грязь все увеличивалась 😂
[01.03.2025, 21:15:03] Жазира❤️😍🤰: Выйдете да?
[01.03.2025, 21:15:54] Асем ❤️🤗: Мен 10 кете келем
‎[01.03.2025, 21:19:17] Жазира❤️😍🤰: ‎audio omitted
[01.03.2025, 21:30:33] Алуа Боевик❤️: Да Жан
‎[01.03.2025, 21:31:03] Алуа Боевик❤️: ‎audio omitted
[01.03.2025, 22:07:01] Асем ❤️🤗: Вы где
[01.03.2025, 22:07:03] Асем ❤️🤗: ?
[01.03.2025, 22:07:09] Асем ❤️🤗: Я вот выхожу
[01.03.2025, 22:10:06] Алуа Боевик❤️: Тоже
[01.03.2025, 22:10:41] Жазира❤️😍🤰: У тебя терра?
[01.03.2025, 22:10:47] Алуа Боевик❤️: Да
[01.03.2025, 22:10:50] Алуа Боевик❤️: Тереа
‎[01.03.2025, 22:11:23] Алуа Боевик❤️: ‎audio omitted
[01.03.2025, 22:24:07] Жазира❤️😍🤰: Я тут
[01.03.2025, 22:24:10] Жазира❤️😍🤰: Мы опоздали
[01.03.2025, 22:24:16] Жазира❤️😍🤰: ‎This message was deleted.
[01.03.2025, 22:24:58] Алуа Боевик❤️: Бля
[01.03.2025, 22:25:02] Алуа Боевик❤️: Жди там
[01.03.2025, 22:25:05] Жазира❤️😍🤰: Дали
[01.03.2025, 22:25:08] Алуа Боевик❤️: А Ок
[01.03.2025, 22:25:12] Алуа Боевик❤️: Я подъезжаю
[01.03.2025, 22:25:17] Жазира❤️😍🤰: На мое имя
[01.03.2025, 22:25:18] Алуа Боевик❤️: Ты поплакала ?😂
[01.03.2025, 22:25:22] Алуа Боевик❤️: Ок
[01.03.2025, 22:25:29] Жазира❤️😍🤰: Нет😂
[01.03.2025, 22:25:37] Алуа Боевик❤️: Ну ладно
[01.03.2025, 22:25:39] Алуа Боевик❤️: 😂
[01.03.2025, 22:28:56] Жазира❤️😍🤰: Не успела стики
[01.03.2025, 22:28:58] Жазира❤️😍🤰: Взять
[01.03.2025, 22:29:02] Жазира❤️😍🤰: Такси ждал
[01.03.2025, 22:32:32] Асем ❤️🤗: Бля уже 2 ой такси отменил 😤
[01.03.2025, 22:33:00] Айман: А че
[01.03.2025, 22:39:49] Асем ❤️🤗: Да хз
[01.03.2025, 22:47:27] Алуа Боевик❤️: А ты че дома
[01.03.2025, 22:58:25] Айман: Чето я устала сегодня, может если что подтянусь позже
[01.03.2025, 22:59:21] Айман: Классное место да?
[01.03.2025, 23:04:58] Алуа Боевик❤️: Окей
[01.03.2025, 23:05:01] Алуа Боевик❤️: Ага
[01.03.2025, 23:05:04] Алуа Боевик❤️: Но парней нету
[01.03.2025, 23:05:53] Айман: 😂 бля
[01.03.2025, 23:06:03] Айман: Еще ораза же
[01.03.2025, 23:06:09] Айман: Обычно там много парней
[01.03.2025, 23:20:12] Айман: Кто там ?
[01.03.2025, 23:20:19] Айман: @77787986161 ты приехала?
‎[01.03.2025, 23:21:34] Асем ❤️🤗: ‎video omitted
[01.03.2025, 23:23:02] Айман: Музыка кайф да?
[01.03.2025, 23:23:22] Асем ❤️🤗: Да
[01.03.2025, 23:29:05] Айман: Вы там?
[01.03.2025, 23:29:06] Айман: Я подойду
[01.03.2025, 23:38:46] Асем ❤️🤗: Кел
[01.03.2025, 23:38:48] Асем ❤️🤗: Ждем
[02.03.2025, 00:47:36] Жазира❤️😍🤰: Кусып алдым
[02.03.2025, 00:47:43] Жазира❤️😍🤰: 🥺
[02.03.2025, 00:49:08] Айман: Еду
[02.03.2025, 00:49:25] Алуа Боевик❤️: Жан
[02.03.2025, 00:49:28] Алуа Боевик❤️: Может в ахо
[02.03.2025, 00:49:29] Алуа Боевик❤️: Сразу
[02.03.2025, 00:49:32] Асем ❤️🤗: Серьезно?
[02.03.2025, 00:49:34] Алуа Боевик❤️: Тут мы уже устали сидеть
[02.03.2025, 00:49:39] Алуа Боевик❤️: Ахуеть
[02.03.2025, 00:49:44] Алуа Боевик❤️: 2 апероля Жан
[02.03.2025, 00:59:54] Айман: 🥲
[02.03.2025, 13:26:40] Айман: Кто хочет
[02.03.2025, 13:26:47] Айман: Выйти покушать
[02.03.2025, 13:26:51] Айман: Позавтракать
[02.03.2025, 13:26:54] Айман: Или пообедать
[02.03.2025, 13:31:29] Фас На Минималках🤌: Лежу с температурой
[02.03.2025, 13:31:44] Фас На Минималках🤌: Не могу встать со вчерашнего вечера
[02.03.2025, 13:36:48] Асем ❤️🤗: Капец 
Выздоравливай ❤️‍🩹
‎[02.03.2025, 14:42:08] Айман: ‎image omitted
[02.03.2025, 14:50:28] Фас На Минималках🤌: Жан где твои брекеты тут не видно @77761995090
[02.03.2025, 14:51:04] Алуа Боевик❤️: тут их не было же
[02.03.2025, 14:51:08] Алуа Боевик❤️: люди мой тел
[02.03.2025, 14:51:12] Алуа Боевик❤️: не включается
[02.03.2025, 14:52:06] Айман: Это вообще
[02.03.2025, 14:52:08] Айман: Было давно
[02.03.2025, 14:52:27] Айман: Год назад кстати
[02.03.2025, 14:52:30] Айман: В апреле
[02.03.2025, 14:53:09] Фас На Минималках🤌: Че случилось?
[02.03.2025, 15:43:41] Алуа Боевик❤️: Жан хз
[02.03.2025, 15:43:45] Алуа Боевик❤️: мама приехала
[02.03.2025, 15:43:49] Алуа Боевик❤️: поедем на ремонт
‎[02.03.2025, 20:01:16] Айман: ‎image omitted
[02.03.2025, 20:01:21] Айман: Норм тоналка ?
[04.03.2025, 18:35:40] Айман: https://youtu.be/WaP2rNslC_M?si=K9fTphKPLdPlClQq
[04.03.2025, 18:49:22] Алуа Боевик❤️: та же ссылка да
[04.03.2025, 18:49:27] Алуа Боевик❤️: что там
[04.03.2025, 18:49:54] Жазира❤️😍🤰: Кыздар
[04.03.2025, 18:50:03] Жазира❤️😍🤰: Где можно купить очки
[04.03.2025, 18:50:10] Акнур: Кандай очки
[04.03.2025, 18:50:18] Жазира❤️😍🤰: Солнцезащитные
[04.03.2025, 18:50:35] Жазира❤️😍🤰: Кроме актуаля
[04.03.2025, 18:50:37] Жазира❤️😍🤰: 😂
[04.03.2025, 18:57:28] Алуа Боевик❤️: Жан в дос оптикс
[04.03.2025, 18:57:41] Алуа Боевик❤️: я схожу туда и куплю очки после Алматы
[04.03.2025, 19:29:00] Алуа Боевик❤️: я включаю твою ссылку
[04.03.2025, 20:38:23] Жазира❤️😍🤰: Пишите сюда
[04.03.2025, 20:38:28] Жазира❤️😍🤰: Епт
[04.03.2025, 20:38:38] Алуа Боевик❤️: ахахахахахха
[04.03.2025, 20:38:39] Алуа Боевик❤️: бля
[04.03.2025, 20:38:40] Алуа Боевик❤️: ладно
[04.03.2025, 20:38:43] Алуа Боевик❤️: сюда давайте
[04.03.2025, 20:38:53] Айман: Бля
[04.03.2025, 20:38:56] Айман: Я уже
[04.03.2025, 20:38:57] Айман: Чаты
[04.03.2025, 20:38:58] Айман: Попутала
[04.03.2025, 20:39:00] Алуа Боевик❤️: сейчас скину
[04.03.2025, 20:39:01] Алуа Боевик❤️: сюда
[04.03.2025, 20:39:04] Алуа Боевик❤️: выпуск
[04.03.2025, 20:39:07] Алуа Боевик❤️: полезный
[04.03.2025, 20:39:09] Алуа Боевик❤️: карандар
[04.03.2025, 20:39:33] Жазира❤️😍🤰: Я смотрела
[04.03.2025, 20:39:54] Айман: Удали
[04.03.2025, 20:39:56] Айман: Сообщения
[04.03.2025, 20:39:56] Алуа Боевик❤️: https://www.youtube.com/watch?v=v9qxNEnwKCA&t=240s
[04.03.2025, 20:40:00] Алуа Боевик❤️: вот
[04.03.2025, 20:40:05] Алуа Боевик❤️: мне лень
[04.03.2025, 20:40:24] Алуа Боевик❤️: зачем удалять?
[04.03.2025, 20:40:26] Алуа Боевик❤️: ахахахахха
[04.03.2025, 20:40:29] Алуа Боевик❤️: бро ты гонишь
[04.03.2025, 20:40:33] Алуа Боевик❤️: вообще похуй
[04.03.2025, 20:40:48] Айман: Где
[04.03.2025, 20:40:50] Айман: Ты спрашиваешь
[04.03.2025, 20:40:52] Айман: Про мою причину
[04.03.2025, 20:40:55] Айман: Удали это сообщение
[04.03.2025, 20:41:05] Алуа Боевик❤️: какую
[04.03.2025, 20:41:11] Алуа Боевик❤️: мне лень все удалять
[04.03.2025, 20:41:16] Алуа Боевик❤️: просто забей
[04.03.2025, 20:41:35] Айман: тебя срочно гонят со страны
[04.03.2025, 20:41:35] Айман: что за обстоятельства
[04.03.2025, 20:41:36] Айман: звучит интересно)
[04.03.2025, 20:41:39] Айман: Вот это
[04.03.2025, 20:41:40] Айман: Удали
[04.03.2025, 20:41:43] Алуа Боевик❤️: кстати Аиша
[04.03.2025, 20:41:46] Алуа Боевик❤️: очень прикольная
[04.03.2025, 20:42:21] Айман: Бро
[04.03.2025, 20:42:22] Айман: Удали
[04.03.2025, 20:42:25] Айман: Попросила же
[04.03.2025, 20:42:30] Алуа Боевик❤️: блеять не делай так Айман
[04.03.2025, 20:42:34] Алуа Боевик❤️: мои же сообщения
[04.03.2025, 20:42:42] Алуа Боевик❤️: сама писала сама отвечала
[04.03.2025, 20:42:49] Алуа Боевик❤️: я не буду ничего удалятьё
[04.03.2025, 20:42:52] Алуа Боевик❤️: запарила
[04.03.2025, 20:42:58] Айман: Попросила же
[04.03.2025, 20:43:04] Айман: Удали пожалуйста
[04.03.2025, 20:43:04] Алуа Боевик❤️: свои удайляй  и хватит
[04.03.2025, 20:43:09] Айман: Я удалила свои
[04.03.2025, 20:43:14] Айман: Удали 4 сообщения
[04.03.2025, 20:43:18] Айман: Остальные можешь оставить
[04.03.2025, 20:43:23] Алуа Боевик❤️: я такие загоны не понимаю
[04.03.2025, 20:43:32] Айман: Бро
[04.03.2025, 20:43:38] Айман: Мало ли
[04.03.2025, 20:43:41] Айман: Я тебя прошу
[04.03.2025, 20:43:43] Айман: Же
[04.03.2025, 20:43:49] Алуа Боевик❤️: я удалила те два
[04.03.2025, 20:43:53] Алуа Боевик❤️: остальное это диалог
[04.03.2025, 20:44:09] Айман: Ок
[04.03.2025, 20:44:11] Алуа Боевик❤️: и я не буду удалятсама по себе прогоняешь
[04.03.2025, 21:09:06] Жазира❤️😍🤰: Они и читать не будут
[04.03.2025, 21:09:10] Жазира❤️😍🤰: 🥺
[04.03.2025, 21:09:52] Алуа Боевик❤️: Жан это ты кипишь навела ахаххаха
[04.03.2025, 21:09:57] Алуа Боевик❤️: Амман начала нервничать
[04.03.2025, 21:10:03] Алуа Боевик❤️: жайдан жай
[04.03.2025, 21:10:18] Жазира❤️😍🤰: 😂
[04.03.2025, 21:10:37] Айман: Я не хочу лишних вопросов
[04.03.2025, 21:10:38] Айман: Просто
[04.03.2025, 21:10:42] Айман: Если мне зададут вопрос
[04.03.2025, 21:10:43] Алуа Боевик❤️: когда вдруг что то понял
[04.03.2025, 21:10:46] Айман: Я вылью на них
[04.03.2025, 21:10:47] Алуа Боевик❤️: а зачем непонятно ахахаххаха
[04.03.2025, 21:10:49] Айман: Я не хочу эттго
‎[04.03.2025, 21:10:54] Жазира❤️😍🤰: ‎audio omitted
[04.03.2025, 21:11:07] Алуа Боевик❤️: я тоже не читаю
[04.03.2025, 21:11:13] Алуа Боевик❤️: если другие пишут
[04.03.2025, 21:11:15] Алуа Боевик❤️: мне лень
[04.03.2025, 21:11:20] Алуа Боевик❤️: им тоже лень поверь
[04.03.2025, 21:12:00] Алуа Боевик❤️: ладно я пойду тратить деньги Арман на курицу свою
[04.03.2025, 21:12:52] Айман: 🤣🤣🤣🤣🤣🤣🤣🤣
[04.03.2025, 21:12:53] Айман: Бля
[04.03.2025, 21:12:57] Айман: 😆😆😆😆😆😆😆😆😆😆😆
[04.03.2025, 21:13:02] Айман: Только ты могла так написать
[04.03.2025, 21:13:05] Алуа Боевик❤️: Айман
[04.03.2025, 21:13:15] Алуа Боевик❤️: бля это комп заехал меня
[04.03.2025, 21:13:18] Алуа Боевик❤️: исправлять
‎[04.03.2025, 21:24:41] Асем ❤️🤗: ‎video omitted
‎[04.03.2025, 21:25:15] Асем ❤️🤗: ‎audio omitted
[04.03.2025, 21:30:01] Алуа Боевик❤️: жан ты сфоталась сама
[04.03.2025, 21:30:02] Алуа Боевик❤️: молодец
[04.03.2025, 21:30:21] Алуа Боевик❤️: до Алматы не успеваю жан
[04.03.2025, 21:30:23] Алуа Боевик❤️: завтра типо?
[04.03.2025, 21:30:30] Алуа Боевик❤️: утром 6-го вылет
‎[04.03.2025, 21:31:32] Асем ❤️🤗: ‎audio omitted
[04.03.2025, 21:31:56] Алуа Боевик❤️: окай
[04.03.2025, 21:32:03] Алуа Боевик❤️: если буду успевать
‎[05.03.2025, 13:41:58] Айман: ‎image omitted
[05.03.2025, 14:15:24] Айман: Завтра вылет
[05.03.2025, 14:15:27] Айман: По 250к
[05.03.2025, 14:43:34] Жазира❤️😍🤰: Нормик
[05.03.2025, 14:43:34] Жазира❤️😍🤰: Вообще
[05.03.2025, 14:45:37] Айман: Вообще тема
[05.03.2025, 14:45:40] Айман: Сезон начинается
[05.03.2025, 14:45:41] Айман: Гоуте
[05.03.2025, 14:45:44] Айман: 🥲🥲🥲🥲🥲🥲🥲
[05.03.2025, 14:46:20] Айман: Надежда на тебя и Асему
[05.03.2025, 14:46:21] Айман: 😆
[05.03.2025, 14:47:27] Жазира❤️😍🤰: Не так близко
[05.03.2025, 15:01:50] Алуа Боевик❤️: бля я раз 5 сказала 20-го
[05.03.2025, 15:01:55] Алуа Боевик❤️: почему ты не слышишь меня?
[05.03.2025, 15:02:10] Алуа Боевик❤️: чуточку подстраиваться деген боту клерк кой
[05.03.2025, 15:02:23] Алуа Боевик❤️: или хотите меня так кинуть меня
[05.03.2025, 15:58:38] Айман: У меня крыша едет
[05.03.2025, 15:58:40] Айман: Если честно
[05.03.2025, 15:59:17] Жазира❤️😍🤰: Не ушин а
[05.03.2025, 15:59:38] Жазира❤️😍🤰: Почему я читаю твоим голосом 🤣
[05.03.2025, 16:00:04] Айман: Нервная система перегружена
[05.03.2025, 16:08:29] Айман: У меня подруга тур агент
[05.03.2025, 16:08:36] Айман: Говорит после 21 вряд ли будут горящие
[05.03.2025, 17:55:08] Алуа Боевик❤️: Бля ладно
[05.03.2025, 17:55:11] Алуа Боевик❤️: Летите сами тогда
[05.03.2025, 17:55:19] Алуа Боевик❤️: А то потом я виновата буду
[06.03.2025, 13:56:21] Асем ❤️🤗: Кыздар как вы ?
[06.03.2025, 13:56:39] Асем ❤️🤗: 8 марта кто в городе будет?
[06.03.2025, 13:57:23] Асем ❤️🤗: @77717710330 кететин болдынба ?
[06.03.2025, 14:37:38] Жазира❤️😍🤰: Я буду в Кокшетау
[06.03.2025, 14:37:49] Айман: Улетаю завтра утром
[06.03.2025, 14:38:19] Алуа Боевик❤️: Куда
[06.03.2025, 14:38:25] Айман: Алматы
[06.03.2025, 14:38:45] Алуа Боевик❤️: Ооо
[06.03.2025, 14:39:04] Алуа Боевик❤️: Надо будет пересечься к 9-10
[06.03.2025, 14:39:06] Алуа Боевик❤️: Числам
[06.03.2025, 14:39:17] Айман: Жан я дальше ночью
[06.03.2025, 14:39:21] Айман: Улечу во вьетнам
[06.03.2025, 14:39:32] Айман: С 7 на 8 ночь
